symbol,entryDate,exitDate,entryPrice,exitPrice,quantity,tradeType,strategy,notes
AAPL,2023-01-15,2023-02-01,135.27,145.92,100,LONG,Swing Trading,Earnings play with strong momentum
TSLA,2023-02-10,2023-03-15,208.31,185.12,50,SHORT,Technical Breakout,Breakdown below 200MA
MSFT,2023-03-01,2023-03-20,252.67,276.38,75,LONG,Trend Following,Bullish trend continuation
NVDA,2023-04-05,2023-05-01,267.79,285.51,40,LONG,Momentum,AI sector momentum
META,2023-05-10,2023-06-15,233.81,281.53,60,LONG,Swing Trading,Post-earnings momentum
AMZN,2023-06-20,2023-07-05,130.36,129.96,90,SHORT,Technical Breakout,Failed breakout setup
SPY,2023-07-15,2023-08-01,448.87,456.89,30,LONG,Trend Following,Market uptrend continuation
QQQ,2023-08-10,2023-09-15,367.93,373.77,45,LONG,Momentum,Tech sector strength
GOOGL,2023-09-20,2023-10-05,138.45,141.18,80,LONG,Swing Trading,Pre-earnings positioning
AMD,2023-10-10,,156.37,,65,LONG,Technical Breakout,Semiconductor sector breakout
